year,division,station,station_code,offence_code,offence_category,offence_group,incident_count
2003,DMR North Division,Coolock,63301,04,Dangerous or negligent acts (04),Dangerous or negligent acts,154
2003,DMR North Division,Coolock,63301,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2003,DMR North Division,Coolock,63301,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",41
2003,DMR North Division,Coolock,63301,07,Burglary and related offences (07),Burglary and related offences,260
2003,DMR North Division,Coolock,63301,08,Theft and related offences (08),Theft and related offences,982
2003,DMR North Division,Coolock,63301,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",21
2003,DMR North Division,Coolock,63301,10,Controlled drug offences (10),Controlled drug offences,235
2003,DMR North Division,Coolock,63301,11,Weapons and explosives offences (11),Weapons and explosives offences,38
2003,DMR North Division,Coolock,63301,12,Damage to property and to the environment  offences (12),Damage to property & environment,746
2003,DMR North Division,Coolock,63301,13,Public order and other social code offences (13),Public order & social code offences,451
2003,DMR North Division,Coolock,63301,14,Road and traffic offences (14),Road and traffic offences,567
2003,DMR North Division,Coolock,63301,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",44
2003,DMR North Division,Coolock,63301,16,Offences not elsewhere classified (16),Offences not elsewhere classified,3
2003,DMR North Division,Malahide,63302,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",33
2003,DMR North Division,Malahide,63302,04,Dangerous or negligent acts (04),Dangerous or negligent acts,48
2003,DMR North Division,Malahide,63302,05,Kidnapping and related offences (05),Kidnapping and related offences,0
2003,DMR North Division,Malahide,63302,06,"Robbery, extortion and hijacking offences (06)","Robbery, extortion & hijacking",17
2003,DMR North Division,Malahide,63302,07,Burglary and related offences (07),Burglary and related offences,167
2003,DMR North Division,Malahide,63302,08,Theft and related offences (08),Theft and related offences,440
2003,DMR North Division,Malahide,63302,09,"Fraud, deception and related offences (09)","Fraud, deception & related offences",12
2003,DMR North Division,Malahide,63302,10,Controlled drug offences (10),Controlled drug offences,13
2003,DMR North Division,Malahide,63302,11,Weapons and explosives offences (11),Weapons and explosives offences,2
2003,DMR North Division,Malahide,63302,12,Damage to property and to the environment  offences (12),Damage to property & environment,231
2003,DMR North Division,Malahide,63302,13,Public order and other social code offences (13),Public order & social code offences,164
2003,DMR North Division,Malahide,63302,14,Road and traffic offences (14),Road and traffic offences,158
2003,DMR North Division,Malahide,63302,15,"Offences against government, justice procedures and organisation of crime (15)","Government, justice & organised crime offences",13
2003,DMR North Division,Malahide,63302,16,Offences not elsewhere classified (16),Offences not elsewhere classified,2
2003,DMR North Division,Swords,63303,03,"Attempts/threats to murder, assaults, harassments and related offences (03)","Assaults, threats & harassment",75
2003,DMR North Division,Swords,63303,04,Dangerous or negligent acts (04),Dangerous or negligent acts,184
2003,DMR North Division,Swords,63303,05,Kidnapping and related offences (05),Kidnapping and related offences,0
